iind,SMILES,Caco2_A2B_Papp_nmps,Caco2_B2A_Papp_nmps,Passive_Permeability
12,COC1=CC(C(=O)NCCOCCOCCOCCC(=O)NC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=CC=C1NC1=NC=C(C(F)(F)F)C(OC2=CC=CC3=C2C(=O)CC3)=N1,10.0,170.0,41.2
13,COC1=CC(C(=O)NCCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)=CC=C1NC1=NC=C(C(F)(F)F)C(OC2=CC=CC3=C2C(=O)CC3)=N1,5.0,110.0,23.5
14,O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCOCCOCCOCCOCCNC(=O)N[C@H]4CC[C@@H](NC5=NC=NC6=C5C(C(=O)C5=CC=C(OC7=CC=CC=C7)C=C5Cl)=C[NH]6)CC4)=C3C2=O)C(=O)N1,2.7,75.0,14.1
15,C[C@H]1CC2(CCN(C3=CC=C(C(=O)N4CCC(CN5CC6=CC7=C(C=C6C5)C(=O)N(C5CCC(=O)NC5=O)C7=O)CC4)C=C3)CC2)CN1C1=CC=C(C#N)C(Cl)=C1,0.7,1.3,1.0
16,CCOC1=CC(C(C)(C)C)=CC=C1C1=NC(C2=CC=C(Cl)C=C2)C(C2=CC=C(Cl)C=C2)N1C(=O)N1CCN(CC(=O)NCCOCCOCCOCCNC(=O)CN2CCN(C(=O)N3C(C4=CC=C(C(C)(C)C)C=C4OCC)=NC(C4=CC=C(Cl)C=C4)C3C3=CC=C(Cl)C=C3)CC2=O)C(=O)C1,0.6,0.2,0.3
17,NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCN(C(=O)C2=CC=C(CNC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)C(=O)C4=C3)C=C2)C1,0.2,0.1,0.1
18,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCCCCOC1=NOC([C@@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)N[C@@H](C)C3=CC=C(Cl)C=C3)C(C)C)=C1)N=C2C1=CC=C(Cl)C=C1,0.5,160.0,8.9
19,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(Cl)C=C2OCCOCCOCCOCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C(C)C)=C1,0.7,200.0,11.8
20,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(C3=C(C)N=CS3)C=C2OCCOCCOCCOCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C(C)C)=C1,0.7,110.0,8.8
21,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C2=CC=C(Cl)C=C2)C(C)C)=C1,0.6,75.0,6.7
22,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCOCCOCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C2=CC=C(Cl)C=C2)C(C)C)=C1,0.6,60.0,6.0
23,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCOCCOCCOCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C2=CC=C(Cl)C=C2)C(C)C)=C1,0.4,55.0,4.7
24,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,0.8,20.0,4.0
25,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCOCCOCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,0.7,22.0,3.9
26,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](CC(=O)NCCOCCOCCOCCNC(=O)C[C@@H]2N=C(C3=CC=C(Cl)C=C3)C3=C(SC(C)=C3C)N3C(C)=NN=C23)C2=CC=C(C3=C(C)N=CS3)C=C2)C(C)C)=C1,0.8,18.0,3.8
27,CC1=NOC([C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C2=CC=C(C3=C(C#CCOCCOCCOCCNC(=O)C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C5=C(SC(C)=C5C)N5C(C)=NN=C45)N=CS3)C=C2)C(C)C)=C1,0.6,89.0,7.3
28,O=C1CCC(N2CC3=C(SCCCCCCN4CCN(C5CCN(C6=NC=C(C(=O)NC7=CC=C(OC(F)(F)Cl)C=C7)C=C6C6=CC=N[NH]6)CC5)CC4)C=CC=C3C2=O)C(=O)N1,1.1,10.3,3.4
29,CNC1=NC(NC2=CC=C(C(=O)N3CCN(C[C@H]4CC[C@H](CSC(C)(C)[C@H](NC(=O)C5(F)CC5)C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC5=CC=C(C6=C(C)N=CS6)C=C5)CC4)CC3)C=C2OC)=NC=C1Cl,7.4,14.3,10.3
30,CN(C1=CC=CC=C1CNC1=NC(NC2=CC=C(N3CCN(CCCCCCC(=O)NCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C=C2)=NC=C1C(F)(F)F)S(C)(=O)=O,2.4,4.2,3.2
31,CNC(=O)C1=CC=CC=C1NC1=NC(NC2=CC=C(N3CCN(CCCCC(=O)NC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)C=C2OC)=NC=C1Cl,14.0,47.0,25.7
32,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,1.1,90.0,9.9
